text,category
@sxy 加一个现在,无实义
还有为什么要这么称呼亚马尔。。。,足球
@Miaou d’engraissement biebiebiebiebie,无实义
@卡卡 biebiebiebiebie,无实义
@卡卡 bie,无实义
@卡卡 bie,无实义
@卡卡 bie,无实义
有人知道数学卷子最后一道题最后一小问答案是什么吗？,作业
@卡卡  6,无实义
所以登贝莱在巴萨打游戏去巴黎就带队拿欧冠，在法国队踢得也不错，就跟巴萨自己一点关系都没有喽,足球
@东坡小仕  只能说巴萨环境和体系不适合登贝莱，没法培养他提高他，发挥他的潜能，不能说是登贝莱打游戏态度问题这么绝对的下定论,足球
@所有人 有人知道答案吗？求🙏🙏🙏,作业
mo,无实义
我瞎了,无实义
6,无实义
@亚马尔半岛 是，我说的有点偏激了，但如果不这么分析，而是坚持说完全是巴萨的问题那我觉得也不对,足球
但登贝莱打游戏,足球
多多少少还是有点态度问题的,足球
他还睡过头训练迟到，这就纯属态度问题了吧,足球
https://mbd.baidu.com/newspage/data/videolanding?nid=sv_2534752984077493237,其它
高考752什么人啊,其它
有人知道英语必须明天交的作业是什么吗？,作业
zhx诗人吗,其它
海南是这样的,其它
？,无实义
我不知道,无实义
勒紫,其它
。。。,无实义
当我没说,无实义
谁在抓他,其它
@东坡小仕  乐,无实义
不过没事，我也是很早以前看新闻才知道的,其它
当时我看海南一个八百多分的直接给我看蒙了,其它
只有最后17句有用,其它
[强],无实义
以前也看到过,无实义
hhh,无实义
@Miaou d’engraissement  颜都不颜了,其它
对了，最后四首古诗只考背默不考理解和文常是么？,作业
对的,无实义
ok,无实义
那搞定了,无实义
有人知道为什么会这样吗？,其它
那是classin的一个bug,其它
试试后台退出重进？,其它
6,无实义
@Julien L. de Bradbury  好了，谢谢,无实义
@杨烁平  关于电脑重启了1小时这件事,其它
@亚马尔半岛  18,无实义
太帅了,无实义
20说的这两个也要考吗？,作业
布吉岛,无实义
@东坡小仕 要的要的，是在考察范围里,作业
@亚马尔半岛 ,无实义
你在哪获得的,其它
而且你还玩mc,MC
@卡卡 biebiebiebiebie,无实义
@亚马尔半岛 又不是最近玩的,MC
@所有人 等等我出个形容词变副词专项练习。,作业
@Julien L. de Bradbury  O,无实义
@亚马尔半岛 还是太菜了,其它游戏
就不能满分吗,作业
@Julien L. de Bradbury  [哭],无实义
hornex的红和青一样大,其它游戏
mo,无实义
打青爆青,其它游戏
想问一下名字的颜色和等级是什么关系,其它游戏
？,无实义
就是我33级，名字是什么颜色的？,其它游戏
名字和颜色没有任何关系,其它游戏
颜色只看你装备的花瓣的最高级@杨子瑜  ,其它游戏
哦,无实义
谢谢,无实义
打青爆青就是菜,其它游戏
@rks批发商  掉~了,音游
个~位数,音游
eqp,其它
？,无实义
@bq,无实义
有人有florr金字塔全地图吗？,其它游戏
金字塔地图一小时变一次,其它游戏
听说M28好像是编了好几个地图然后一个个变,其它游戏
想知道所有的地图,其它游戏
现在走到一半就迷路,其它游戏
@rks批发商 那如果站在一个点位，然后这个点位变成墙了，会发生什么,其它游戏
@侯沐阳  是会退出金字塔的,其它游戏
我知道怎么拿满分了，播放重生然后一题不写（bushi,音游
感觉这个音乐很适合做成phigros谱的样子,音游
【rks降了7.96！全网降rks最多！ | Phigros-哔哩哔哩】 https://b23.tv/x6ttA5s,音游
现在最多掉9.39了,音游
那就真掉到个位数了,音游
？？？,无实义
有没有一种可能，我是同意前面说禁言的,其它
又有人要说了，两个物体一样重,其它
@34号王浩然  我也同意,无实义
@rks批发商  金字塔里到底有啥好东西啊,其它游戏
都往那里跑,其它游戏
@四七  总结：3=10,其它
猜北京,其它
houmy不许透题,其它
啊对对对,无实义
嗯，好难猜啊,其它
不知道，我只知道不是换乘站,其它
啊对对对包不是的,其它
你看其他站都不是,其它
（doge,无实义
[便便],无实义
王府井？,其它
错喽,其它
这包王府井的啊,其它
提示：自己 换 自己,其它
但是并不知道车站名字,其它
@侯沐阳  ,无实义
这玩意儿似乎很适合做成谱子https://www.bilibili.com/video/BV1ch4y1T7T8/?spm_id_from=333.337.search-card.all.click&vd_source=21bc3f10dcd90083ad61dc66940f1f10,音游
cs game 加了亿些 tip,其它游戏
课题太难了,音游
目前最高987137,音游
被反击了（悲,音游
反击前面g了两个,音游
现在重生升 IN 15 了，已经不是给人打的了,音游
6,无实义
推dB doll EZ all good（目前AG-9）,音游
AG-1,音游
dB doll EZ Lv.1 蓝V击破！！！[破涕为笑],音游
好,无实义
好,无实义
意义不明的表盘,其它
6,无实义
当尝试不用拇指打歌后发现自己变强力,音游
acc99,音游
直播挑战,其它
第一个简简单单,其它游戏
这两个都是什么玩意,无实义
@四七 国家图书馆（,其它
新视频居然获得了一一百多的播放量,其它
[笑脸],无实义
@杨子瑜  什么视频,其它
发一下网址,无实义
去搜肖whale,其它
记的关注[笑脸],其它
奆,无实义
Phi被卸了（悲,音游
还能玩网页版（喜,音游
团结湖,其它
针不戳,无实义
mol,无实义
@rks批发商  掉 rks 去吧,音游
还玩 nggyu，谁在赤石呢？,音游
就是菜，前情提要：Clock Paradox EZ,音游
还有人赤这坨呢,音游
团结湖是3号线和10号线的换乘站,其它
@rks批发商 IP危,其它
@rks批发商 有时间手表上聊吗,其它
？,无实义
一条弹幕,其它
@四七 那很危了@rks批发商 ,其它
AP！！！！！！！！！！！,音游
哇,无实义
哇,无实义
？What？,无实义
6月9日语文,作业
[强][强][强],无实义
数学那个第二张卷子是全写完是吧,作业
1,无实义
@申希远 是只写 12.2 直方图（1） 对吧？,作业
0,无实义
你还true false上了bro,其它
^_^,无实义
1,无实义
才反应过来是true和false,其它
11=1000,无实义
真可爱,无实义
？,无实义
好可爱鸡母,无实义
@梁中佑 小夫真可爱！,无实义
？什么情况啊,无实义
@曾琰皓 ？,无实义
@张灏轩 额……,无实义
一些图片,其它
求今天作业,作业
一堆：英语练习册积累本，数学练习册，两套语文卷子，一套化学卷子,作业
28页的化学卷子！！！,作业
英语积累本写啥,作业
猎奇时间,其它
随便抄写生词、名言什么的应该可以吧,作业
难道没有一点范围吗,作业
就是随便乱抄？？？,作业
budao,无实义
反正我乱抄的,作业
@郭桐轩  你至少可以抄那首歌和词汇学案,作业
求所有化学卷子,作业
就拿到两张,作业
@魏启涵  你有吗,作业
啊？,无实义
ok了,无实义
我有了,无实义
有位好心人给我发过来了[热情],作业
六百六十六,无实义
今天作业是什么？,作业
开源,无实义
冬眠 【唐】王浩然,无实义
与孟浩然结拜了,无实义
那确实唐,无实义
今天的课堂笔记没有记全的可以参照上面各图,作业
[强],无实义
mo,无实义
[强],无实义
有人知道英语必须明天交的作业是什么吗？,作业
怎么全撤回了,其它
@詹一恒  classin班群里有,作业
你不是从班群找的那从哪转的？别是你自己整理的吧,作业
@梁中佑  没准是他截的屏,其它
是这样的,无实义
啊？,无实义
文件是从班群里转的,作业
图片是自己截的,其它
哦,无实义
其实可以留着，也没啥，撤回了反而不好看,其它
有人知道英语必须明天交的作业是什么吗？,作业
U10作文？,作业
u10作文要交吗？,作业
你是英语课代表啊哥[破涕为笑],其它
。,无实义
期末卷要交吗？,作业
应该不用,无实义
[OK],无实义
应该需要对答案,作业
作文好像周一直接讲，其它都自己对答案,作业
谢谢,无实义
期末考的外刊除了TED和生物多样性还有那些？,作业
还有后羿射日，美丽中国,作业
那些都是二卷范围，一卷不考,作业
二卷可以选择性放弃吗，感觉没时间把那一大坨卷子全过一遍,作业
个人觉得知道大概意思就行了，填空你就找觉得最合理的填进去就行，不过像mundane这种确实要背,作业
会死,无实义
哥,无实义
我们5级了！,其它游戏
？,无实义
5级打boss有机会通关吗？,其它游戏
8个LiOH、1个NH3,其它游戏
包没有的,无实义
除非你有黑的kmno4,其它游戏
我有,无实义
我的游戏也是初具雏形了,编程
180块,其它
@读者 詹一恒 mol,无实义
@W  有机不会,无实义
@读者 詹一恒  你检查一下拼写吧，success 都拼错了,其它
。。。,无实义
lol,无实义
@开发组 侯沐阳  有机不会是什么鬼？,其它
@W  有机化学不会,其它
@杨博皓 明天你几点开始直播化学实验？,其它
@杨博皓 是你吗,无实义
？！,无实义
已修复,编程
@开发组 侯沐阳  ,无实义
正在写牌,编程
mo,无实义
后室啊,其它游戏
我原来看完过整个wiki,其它游戏
@读者 詹一恒  感觉很不平衡啊,其它游戏
不知道，据说是经过实际游玩测试过的,其它游戏
虽然玩过很多次，但好像有点靠运气,其它游戏
可以改变一些单位的特性和数值,其它游戏
是,无实义
在学校玩的版本少很多牌，并且有很多牌的数据都不一样,其它游戏
是的,无实义
那个和星空之光都得削,其它游戏
6,无实义
6,无实义
我现在就改(,编程
@开发组 侯沐阳  可以先把游戏机制和UI做出来,编程
是,无实义
算了，我发到我那个群吧,其它
这个群还有人吗？,其它
@主编 曾琰皓  有啊,无实义
竟然还有活人啊,其它
唐,无实义
？？？,无实义
亚马尔真来了,足球
帅气,无实义
亚马尔！！！,足球
好可爱,无实义
@Miaou d’engraissement  所以你到底除了没有啊,其它
普通顶出的,其它游戏
白光,其它游戏
可以可以,无实义
特别猎奇，我还以为是为了给我点什么所以出了一个周年庆特殊的球[汗],足球
非常能用，打个防守型中前卫基本t0水平,足球
我总评终于要到3038了,其它游戏
@见到大浪就旋转360°的α蛋  但他是后腰,足球
而且全场跑,足球
所以要退了吗,其它游戏
不要呀,无实义
当然你有高光币也可以再返厂,其它游戏
我把斯内德和内德维德都退了[汗],足球
@卡卡  只有五十个了,无实义
我把精选几乎都转换了,其它游戏
出了小一的梅西和内马尔,足球
我还换了一个雷亚尔,足球
利物浦的中后卫,足球
那就不要退了呀,无实义
好好用着,无实义
看样子很一般,无实义
你是真没脑子,无实义
主要是我太缺中后卫了,足球
没有其他球员了,足球
我就今天可以玩一天，以后就没有机会了,其它游戏
不是你好不容易有高光球员都退了干嘛,足球
？ ,无实义
